p,Gamma_noQEC,Gamma_QEC
1.00E-02,1.33E-02,2.61E-03
1.58E-02,2.11E-02,4.20E-03
2.51E-02,3.34E-02,6.85E-03
3.97E-02,5.29E-02,1.14E-02
6.28E-02,8.38E-02,1.94E-02
9.95E-02,1.33E-01,3.47E-02
1.58E-01,2.10E-01,6.62E-02
2.49E-01,3.33E-01,1.38E-01
3.00E-01,4.00E-01,1.90E-01
3.95E-01,5.27E-01,3.13E-01
6.25E-01,8.34E-01,7.31E-01
9.90E-01,1.32E+00,1.50E+00
