p,Gamma_noQEC,Gamma_QEC
1.00E-02,1.33E-02,6.16E-03
1.58E-02,2.11E-02,9.88E-03
2.51E-02,3.34E-02,1.60E-02
3.97E-02,5.29E-02,2.61E-02
6.28E-02,8.38E-02,4.34E-02
9.95E-02,1.33E-01,7.37E-02
1.58E-01,2.10E-01,1.29E-01
2.49E-01,3.33E-01,2.31E-01
3.00E-01,4.00E-01,2.95E-01
3.95E-01,5.27E-01,4.26E-01
6.25E-01,8.34E-01,7.89E-01
9.90E-01,1.32E+00,1.40E+00
