p,Gamma_noQEC,Gamma_QEC
1.00E-02,1.33E-02,4.40E-03
1.58E-02,2.11E-02,7.08E-03
2.51E-02,3.34E-02,1.15E-02
3.97E-02,5.29E-02,1.90E-02
6.28E-02,8.38E-02,3.20E-02
9.95E-02,1.33E-01,5.56E-02
1.58E-01,2.10E-01,1.01E-01
2.49E-01,3.33E-01,1.91E-01
3.00E-01,4.00E-01,2.51E-01
3.95E-01,5.27E-01,3.80E-01
6.25E-01,8.34E-01,7.67E-01
9.90E-01,1.32E+00,1.44E+00
