p,Gamma_noQEC,Gamma_QEC
1.000000000000000021e-02,1.333333333333319715e-02,6.965836332906594208e-03
1.583301121749776386e-02,2.111068162333062936e-02,1.117808143339782401e-02
2.506842442134100263e-02,3.342456589512243781e-02,1.807349228298726906e-02
3.969086450680869849e-02,5.292115267574526438e-02,2.956003663906858758e-02
6.284259029684859110e-02,8.379012039579813997e-02,4.916949369257994640e-02
9.949874371066198819e-02,1.326649916142161878e-01,8.370398474809537248e-02
1.575364725297846158e-01,2.100486300397128581e-01,1.464855492247674196e-01
2.494276736729107991e-01,3.325702315638813245e-01,2.624211729845573604e-01
3.949191155217568472e-01,5.265588206956753892e-01,4.703834274997430454e-01
6.252758786060270690e-01,8.337011714747026847e-01,8.134196647779249334e-01
9.899999999999996581e-01,1.319999999999998952e+00,1.378682948277711873e+00
