p,Gamma_noQEC,Gamma_QEC
1.000000000000000021e-02,1.333333333333341919e-02,4.198719255417038276e-03
1.583301121749776386e-02,2.111068162333051834e-02,6.785280647762070849e-03
2.506842442134100263e-02,3.342456589512343701e-02,1.109521942379465553e-02
3.969086450680869849e-02,5.292115267574548643e-02,1.847726568045493512e-02
6.284259029684859110e-02,8.379012039579769588e-02,3.163208741186207540e-02
9.949874371066198819e-02,1.326649916142164098e-01,5.633272325141125414e-02
1.575364725297846158e-01,2.100486300397126360e-01,1.054875899914788917e-01
2.494276736729107991e-01,3.325702315638807693e-01,2.074277154672450330e-01
3.949191155217568472e-01,5.265588206956751671e-01,4.146962112225979213e-01
6.252758786060270690e-01,8.337011714747023516e-01,7.897783940717568729e-01
9.899999999999996581e-01,1.319999999999998508e+00,1.428592844579839927e+00
