p,Gamma_noQEC,Gamma_QEC
1.000000000000000021e-02,1.333333333333330817e-02,8.865235963595785584e-03
1.583301121749776386e-02,2.111068162333040732e-02,1.417994307569736545e-02
2.506842442134100263e-02,3.342456589512232679e-02,2.280611000510879283e-02
3.969086450680869849e-02,5.292115267574537540e-02,3.697846224232148593e-02
6.284259029684859110e-02,8.379012039579836202e-02,6.064410104500517207e-02
9.949874371066198819e-02,1.326649916142166319e-01,1.009267928954397098e-01
1.575364725297846158e-01,2.100486300397130801e-01,1.706857259025680307e-01
2.494276736729107991e-01,3.325702315638812134e-01,2.919454713925386802e-01
3.949191155217568472e-01,5.265588206956757222e-01,4.969495425612036055e-01
6.252758786060270690e-01,8.337011714747027957e-01,8.235199509877261237e-01
9.899999999999996581e-01,1.319999999999999396e+00,1.357785095456092606e+00
