p,Gamma_noQEC,Gamma_QEC
1.000000000000000021e-02,1.333333333333341919e-02,5.702772981218795501e-03
1.583301121749776386e-02,2.111068162333074039e-02,9.174835699503058883e-03
2.506842442134100263e-02,3.342456589512321496e-02,1.489607731109110489e-02
3.969086450680869849e-02,5.292115267574548643e-02,2.452665015124244619e-02
6.284259029684859110e-02,8.379012039579825100e-02,4.123913658448907782e-02
9.949874371066198819e-02,1.326649916142162988e-01,7.141706927388502546e-02
1.575364725297846158e-01,2.100486300397130801e-01,1.282977311870712178e-01
2.494276736729107991e-01,3.325702315638812134e-01,2.384245868848147154e-01
3.949191155217568472e-01,5.265588206956753892e-01,4.464629044548719117e-01
6.252758786060270690e-01,8.337011714747024627e-01,8.033499283393570334e-01
9.899999999999996581e-01,1.319999999999998952e+00,1.399275098602377199e+00
