p,Gamma_noQEC,Gamma_QEC
1.000000000000000021e-02,1.333333333333319715e-02,1.181220832738172355e-02
1.583301121749776386e-02,2.111068162333051834e-02,1.881767379359766679e-02
2.506842442134100263e-02,3.342456589512199372e-02,3.007346538909272393e-02
3.969086450680869849e-02,5.292115267574515336e-02,4.827773439222926566e-02
6.284259029684859110e-02,8.379012039579825100e-02,7.795369854977707291e-02
9.949874371066198819e-02,1.326649916142161878e-01,1.266857038327687812e-01
1.575364725297846158e-01,2.100486300397129691e-01,2.068522840156259424e-01
2.494276736729107991e-01,3.325702315638812134e-01,3.370078423837576942e-01
3.949191155217568472e-01,5.265588206956756112e-01,5.402064189419233387e-01
6.252758786060270690e-01,8.337011714747026847e-01,8.415892977410213138e-01
9.899999999999996581e-01,1.319999999999999396e+00,1.324001413351329148e+00
